,_id,reference,question_id,topic_id
1395,1019,TG510,1019,2
1396,1020,TG511,1020,2
1397,1021,TG512,1021,2
1398,1022,TG513,1022,2
1399,1023,TG514,1023,2
1400,1024,TG515,1024,2
1401,1025,TG516,1025,2
1402,1026,TG517,1026,2
1403,1027,TG518,1027,2
1404,1028,TG519,1028,2
1405,1029,TG520,1029,2
1406,1030,TG521,1030,2
1407,1031,TG522,1031,2
1408,1032,TG523,1032,2
1409,1033,TG524,1033,2
1410,1034,TG525,1034,2
1411,1035,TH101,1035,2
1412,1036,TH102,1036,2
1413,1037,TH103,1037,2
1414,1038,TH104,1038,2
1415,1039,TH105,1039,2
1416,1040,TH106,1040,2
1417,1041,TH107,1041,2
1418,1042,TH108,1042,2
1419,1043,TH109,1043,2
1420,1044,TH110,1044,2
1421,1045,TH111,1045,2
1422,1046,TH112,1046,2
1423,1047,TH113,1047,2
1424,1048,TH114,1048,2
1425,1049,TH115,1049,2
1426,1050,TH116,1050,2
1427,1051,TH117,1051,2
1428,1052,TH118,1052,2
1429,1053,TH119,1053,2
1430,1054,TH120,1054,2
1431,1055,TH121,1055,2
1432,1056,TH122,1056,2
1433,1057,TH123,1057,2
1434,1058,TH124,1058,2
1435,1059,TH125,1059,2
1436,1060,TH126,1060,2
1437,1061,TH127,1061,2
1438,1062,TH128,1062,2
1439,1063,TH129,1063,2
1440,1064,TH130,1064,2
1441,1065,TH131,1065,2
1442,1066,TH132,1066,2
1443,1067,TH133,1067,2
1444,1068,TH134,1068,2
1445,1069,TH135,1069,2
1446,1070,TH136,1070,2
1447,1071,TH137,1071,2
1448,1072,TH138,1072,2
1449,1073,TH139,1073,2
1450,1074,TH140,1074,2
1451,1075,TH141,1075,2
1452,1076,TH142,1076,2
1453,1077,TH143,1077,2
1454,1078,TH144,1078,2
1455,1079,TH145,1079,2
1456,1080,TH146,1080,2
1457,1081,TH147,1081,2
1458,1082,TH148,1082,2
1459,1083,TH149,1083,2
1460,1084,TH150,1084,2
1461,1085,TH151,1085,2
1462,1086,TH152,1086,2
1463,1087,TH153,1087,2
1464,1088,TH154,1088,2
1465,1089,TH155,1089,2
1466,1090,TH156,1090,2
1467,1091,TH157,1091,2
